transaction_id,amount,distance_from_home,merchant_category,transaction_hour,weekend_transaction,high_risk_merchant,card_present,device,country,currency,is_fraud
TX_8ab03451,544.43,0,Restaurant,7,False,False,False,Firefox,Brazil,BRL,False
TX_9b278186,1.46,1,Education,1,False,False,True,Magnetic Stripe,Canada,CAD,True
TX_7f80b3c4,158.73,0,Entertainment,16,False,True,True,Chip Reader,Canada,CAD,True
TX_7202f8a2,1074.57,0,Restaurant,15,False,False,False,Firefox,Brazil,BRL,False
TX_75f107d6,1399.64,0,Entertainment,10,True,True,False,Firefox,Mexico,MXN,False
TX_2337e624,191.76,0,Travel,20,False,True,False,Edge,Singapore,SGD,False
TX_639f9bb6,545.93,0,Education,21,False,False,False,Safari,France,EUR,False
TX_a6b24749,238.99,1,Gas,12,True,False,False,iOS App,France,EUR,False
TX_d8e58d93,144015.31,1,Entertainment,13,False,True,True,Chip Reader,Russia,RUB,True
TX_d808df32,5569.86,1,Education,14,False,False,True,NFC Payment,Brazil,BRL,True
TX_ac6c746f,15.94,1,Retail,3,True,False,False,Safari,Brazil,BRL,True
TX_0c8c4a01,54424.37,0,Entertainment,11,False,True,False,Android App,Japan,JPY,False
TX_03467e03,2391.97,0,Travel,18,True,True,False,Chrome,Brazil,BRL,False
TX_32d00d60,66685.16,1,Retail,3,False,False,False,Edge,Mexico,MXN,True
TX_975dab0f,3.63,1,Gas,20,False,False,False,Android App,France,EUR,True
TX_587a39a0,533.35,0,Retail,17,False,False,False,Firefox,Australia,AUD,False
TX_47b3da61,1943.38,0,Healthcare,8,True,False,False,iOS App,USA,USD,False
TX_f59da0a9,200.08,0,Grocery,19,False,False,False,Chrome,Australia,AUD,False
TX_befdfa52,3869.52,1,Education,10,True,False,False,Android App,Brazil,BRL,True
TX_21df325b,943.32,0,Retail,20,False,False,False,Edge,Germany,EUR,False
TX_e5cd4328,17516.88,1,Gas,3,False,False,False,Firefox,Japan,JPY,False
TX_d55ba9cf,27297.85,0,Gas,14,False,False,False,Chrome,Russia,RUB,False
TX_28bf476a,153.18,0,Education,16,False,False,False,Edge,Singapore,SGD,False
TX_2dd63c35,779.91,0,Restaurant,16,True,False,False,Android App,Australia,AUD,False
TX_7f172f1c,153006.55,0,Travel,13,False,True,False,Edge,Japan,JPY,False
TX_7e0cb432,4195.1,1,Grocery,7,False,False,False,Firefox,Mexico,MXN,False
TX_bb74560d,406796.49,0,Travel,9,False,True,False,Chrome,Russia,RUB,True
TX_6075d4f5,60449.87,1,Entertainment,7,False,True,True,Magnetic Stripe,Russia,RUB,True
TX_1d9ec8b8,4809629.87,1,Travel,2,False,True,False,Chrome,Nigeria,NGN,True
TX_32f38577,109662.95,0,Gas,18,False,False,False,iOS App,Nigeria,NGN,False
TX_454f2950,188559.57,0,Retail,12,False,False,False,Firefox,Nigeria,NGN,False
TX_5f899846,1006.76,0,Education,8,False,False,False,Chrome,Australia,AUD,False
TX_bf98052d,36018.22,0,Education,12,True,False,False,Chrome,Japan,JPY,False
TX_8937dd9e,23616.44,1,Retail,4,True,False,True,Chip Reader,Brazil,BRL,True
TX_9ac5acc5,2895.47,1,Restaurant,3,True,False,True,Magnetic Stripe,Mexico,MXN,True
TX_b5574038,143993.33,1,Education,8,True,False,True,NFC Payment,Russia,RUB,True
TX_e702bfa4,268.94,0,Retail,23,False,False,False,Chrome,Germany,EUR,False
TX_c42f43e0,6584.68,0,Education,8,False,False,False,Chrome,Mexico,MXN,False
TX_15858744,416.99,0,Healthcare,17,True,False,False,iOS App,France,EUR,False
TX_a1be76b8,702.81,1,Retail,7,True,False,False,Chrome,UK,GBP,False
TX_3fb47098,2634.14,1,Gas,8,False,False,False,Safari,Brazil,BRL,False
TX_aff93686,1633.74,1,Healthcare,23,False,False,True,Magnetic Stripe,France,EUR,True
TX_74c70363,685.17,1,Restaurant,2,False,False,True,Chip Reader,Mexico,MXN,True
TX_eb608c0c,826.39,0,Retail,12,True,False,False,Edge,USA,USD,False
TX_8c03399f,2594.11,1,Entertainment,3,False,True,True,NFC Payment,Mexico,MXN,True
TX_954c6924,119276.37,0,Grocery,14,False,False,False,Safari,Japan,JPY,False
TX_0968aa2f,179.91,0,Restaurant,5,False,False,False,Android App,UK,GBP,False
TX_63136f1d,321.53,0,Restaurant,18,False,False,False,Safari,Germany,EUR,False
TX_8f6b3375,124.73,1,Gas,19,False,False,False,Edge,Singapore,SGD,False
TX_3c13c26a,1986.19,0,Restaurant,22,False,False,False,iOS App,Mexico,MXN,False
TX_680d7747,978.37,1,Healthcare,21,True,False,False,iOS App,USA,USD,True
TX_33de0c34,1662.4,0,Entertainment,19,True,True,False,iOS App,Brazil,BRL,False
TX_c2fbb870,201.85,0,Entertainment,12,False,True,False,Edge,USA,USD,False
TX_5171d35a,22793.15,0,Grocery,11,True,False,False,Firefox,Japan,JPY,False
TX_e205d124,193272.48,0,Travel,20,False,True,False,iOS App,Japan,JPY,False
TX_fc5209fb,1488.33,0,Education,22,False,False,False,Android App,Australia,AUD,False
TX_7febb5cd,427.49,0,Education,8,True,False,False,Edge,Singapore,SGD,False
TX_f12f810f,31576.43,0,Education,6,False,False,False,Safari,Russia,RUB,False
TX_9704acee,32791.86,0,Retail,22,False,False,False,iOS App,Japan,JPY,False
TX_50dddd88,245.51,0,Education,11,False,False,False,iOS App,UK,GBP,False
TX_6e895fa5,238.12,1,Grocery,6,True,False,False,Firefox,France,EUR,False
TX_9356e6d4,668.04,0,Healthcare,20,False,False,False,Firefox,Australia,AUD,False
TX_e0ebf0d5,77582.3,1,Education,1,False,False,False,iOS App,Russia,RUB,True
TX_60f5fcb9,45995.19,0,Healthcare,9,False,False,False,Edge,Russia,RUB,False
TX_b79b8f8b,105395.78,0,Grocery,7,False,False,False,Safari,Nigeria,NGN,False
TX_a56566fb,21.61,1,Retail,3,False,False,False,Edge,Brazil,BRL,True
TX_ca00271a,54241.13,0,Gas,13,False,False,False,Edge,Japan,JPY,False
TX_adbb785c,622.44,0,Healthcare,16,False,False,False,Edge,Canada,CAD,False
TX_c543ab0b,401.23,0,Retail,11,False,False,False,Edge,USA,USD,False
TX_008bdc1b,15214.83,0,Retail,9,True,False,False,Chrome,Mexico,MXN,False
TX_707f8af8,6553.89,0,Gas,11,True,False,False,iOS App,Mexico,MXN,False
TX_d8929f5c,241.13,0,Restaurant,7,True,False,False,Edge,UK,GBP,False
TX_b9b6cf6d,12375.76,0,Travel,23,False,True,False,Firefox,Brazil,BRL,False
TX_8bafe64c,1386.39,0,Retail,16,False,False,False,iOS App,Singapore,SGD,False
TX_9ceb2a17,818.02,1,Travel,4,False,True,False,Safari,Australia,AUD,False
TX_5ff95d4b,648.38,0,Education,17,False,False,False,Android App,USA,USD,False
TX_c732867c,6298.25,0,Retail,9,False,False,False,iOS App,Japan,JPY,False
TX_b975610a,9125.68,0,Grocery,13,False,False,False,Edge,Brazil,BRL,False
TX_48de478e,398250.55,1,Healthcare,17,False,False,False,Firefox,Nigeria,NGN,True
TX_80a7ffff,897.98,0,Education,17,False,False,False,Firefox,Australia,AUD,False
TX_09682f28,342.32,1,Restaurant,23,False,False,False,Firefox,Australia,AUD,False
TX_07fae77f,324.68,0,Entertainment,18,False,True,False,Firefox,USA,USD,False
TX_a166fde4,53758.19,0,Retail,6,False,False,False,Chrome,Japan,JPY,False
TX_9c673fe0,291430.98,0,Travel,2,True,True,True,Magnetic Stripe,Japan,JPY,True
TX_d2a1e74b,247.37,0,Entertainment,11,False,True,False,Android App,UK,GBP,False
TX_364a83da,210.73,0,Retail,22,False,False,False,Android App,UK,GBP,False
TX_2b02a336,36077.81,0,Retail,6,False,False,False,Edge,Nigeria,NGN,False
TX_40c5c2cd,1282.95,0,Entertainment,9,False,True,False,iOS App,Brazil,BRL,False
TX_16b19763,481.1,1,Restaurant,17,True,False,False,iOS App,Brazil,BRL,False
TX_6c01d93e,0.86,1,Restaurant,5,True,False,True,Magnetic Stripe,Brazil,BRL,True
TX_44515c2b,152.74,0,Entertainment,10,False,True,False,Firefox,Australia,AUD,False
TX_b1d8f8ff,185538.0,1,Education,2,False,False,False,iOS App,Russia,RUB,True
TX_874598a1,413.21,0,Healthcare,18,False,False,False,Safari,USA,USD,False
TX_f655c2b2,2078.17,0,Travel,14,False,True,False,Safari,UK,GBP,False
TX_4e4e6789,324276.21,0,Grocery,2,False,False,True,Chip Reader,Nigeria,NGN,True
TX_36ee6975,704.0,0,Travel,17,True,True,False,Chrome,Mexico,MXN,False
TX_8ac442dc,780.46,1,Grocery,22,False,False,False,Safari,Singapore,SGD,False
TX_3afe9a8a,12193.77,1,Travel,18,False,True,False,Chrome,Brazil,BRL,True
TX_e0c7edbd,1390.46,1,Travel,4,False,True,False,Safari,USA,USD,True
TX_18e464f8,792.81,0,Restaurant,8,False,False,False,Android App,Brazil,BRL,False
TX_9b024932,74097.46,0,Education,8,False,False,False,iOS App,Russia,RUB,False
TX_7fdbf831,528.69,1,Gas,5,False,False,False,Safari,USA,USD,False
TX_f7f6f3fb,24.95,1,Restaurant,12,False,False,True,Magnetic Stripe,Brazil,BRL,True
TX_653732b2,26801.02,0,Travel,19,False,True,False,Chrome,Mexico,MXN,False
TX_e5e7ef11,26220.59,0,Healthcare,9,True,False,False,Safari,Russia,RUB,False
TX_d6719547,121.07,0,Travel,11,True,True,False,Chrome,USA,USD,False
TX_b407aa8b,2476.09,1,Retail,4,True,False,True,NFC Payment,Germany,EUR,True
TX_f277a4cb,121.23,0,Retail,11,False,False,False,Firefox,UK,GBP,False
TX_65d51913,3021.92,1,Grocery,5,False,False,True,Magnetic Stripe,Brazil,BRL,True
TX_478ec0d9,8232.61,1,Gas,19,False,False,False,Android App,Brazil,BRL,True
TX_e88daf1b,958.36,0,Entertainment,11,False,True,False,iOS App,Brazil,BRL,False
TX_0af77445,2271.38,0,Travel,19,False,True,False,Android App,Australia,AUD,False
TX_d29ff3eb,4983.46,0,Gas,13,False,False,False,Firefox,Mexico,MXN,False
TX_5380b589,934.68,0,Restaurant,18,True,False,False,Edge,Brazil,BRL,False
TX_2ec372aa,310888.2,0,Retail,16,False,False,False,iOS App,Nigeria,NGN,False
TX_63dd69b9,269.7,0,Healthcare,8,False,False,False,Firefox,UK,GBP,False
TX_1e8d74e0,6.54,1,Gas,2,False,False,True,Chip Reader,Brazil,BRL,True
TX_98c90a59,46222.41,1,Gas,8,False,False,True,Magnetic Stripe,Mexico,MXN,True
TX_696d5729,9096.18,1,Travel,7,False,True,False,Firefox,Brazil,BRL,False
TX_b860f633,46.3,1,Education,1,False,False,True,Magnetic Stripe,Mexico,MXN,True
TX_f292325f,2061.87,0,Restaurant,11,False,False,False,iOS App,Nigeria,NGN,True
TX_adcdf6dc,481.52,0,Education,14,False,False,False,Firefox,Singapore,SGD,False
TX_bd5dbcec,520.58,0,Travel,7,False,True,False,Safari,UK,GBP,False
TX_7cf6ee6a,1622.85,1,Gas,18,False,False,False,Firefox,USA,USD,True
TX_1731c8af,13841.21,0,Entertainment,6,False,True,False,Edge,Russia,RUB,False
TX_6327f080,54.56,1,Restaurant,12,False,False,False,iOS App,France,EUR,False
TX_79a1a167,19892.64,0,Restaurant,17,True,False,False,Android App,Russia,RUB,False
TX_05d0493c,55062.58,1,Entertainment,22,False,True,True,Chip Reader,Nigeria,NGN,True
TX_35ba9822,563.91,0,Entertainment,12,False,True,False,Safari,France,EUR,False
TX_56f2ab50,2741.73,0,Entertainment,18,False,True,False,Android App,Brazil,BRL,False
TX_0c975340,175632.3,1,Healthcare,4,True,False,False,iOS App,Russia,RUB,True
TX_5f597153,448.83,0,Entertainment,6,False,True,False,Android App,Germany,EUR,False
TX_a78a0b85,86.06,0,Travel,19,True,True,False,Safari,France,EUR,False
TX_8d465173,5182.28,0,Healthcare,11,False,False,False,Edge,Mexico,MXN,False
TX_50c87de7,22158.86,0,Entertainment,14,False,True,False,Edge,Russia,RUB,False
TX_431bf25a,6898.07,1,Grocery,15,False,False,True,NFC Payment,Brazil,BRL,True
TX_77cc54f8,1694.44,0,Travel,20,False,True,False,Firefox,Australia,AUD,False
TX_07709344,236521.78,1,Retail,6,False,False,True,Magnetic Stripe,Nigeria,NGN,True
TX_7555759a,29528.94,0,Grocery,11,True,False,False,Firefox,Russia,RUB,False
TX_6787aa2a,397.46,0,Education,15,True,False,False,Edge,Germany,EUR,False
TX_d26480cd,972.28,0,Travel,12,False,True,False,iOS App,France,EUR,False
TX_ee9da6b5,439.63,0,Education,7,False,False,False,Chrome,Canada,CAD,False
TX_916fa7f7,37018.9,0,Travel,19,False,True,False,Chrome,Japan,JPY,False
TX_d864cbf1,26.94,1,Healthcare,2,True,False,True,Magnetic Stripe,Mexico,MXN,True
TX_8811f2c4,44041.83,1,Healthcare,4,False,False,False,Android App,Mexico,MXN,True
TX_0b002556,12316.0,1,Entertainment,0,False,True,False,Edge,Japan,JPY,False
TX_a73a629a,896.58,0,Grocery,18,False,False,False,iOS App,Brazil,BRL,False
TX_89550afc,321.89,0,Education,15,False,False,False,Android App,France,EUR,False
TX_357bc5e1,260.08,0,Retail,12,False,False,False,Edge,Canada,CAD,False
TX_c96f8df1,48245.96,0,Gas,8,True,False,False,Safari,Japan,JPY,False
TX_8dba7e26,253.46,0,Grocery,12,True,False,False,Android App,France,EUR,False
TX_34e1074d,663.4,0,Restaurant,13,False,False,False,Edge,Singapore,SGD,False
TX_babf0119,2789.77,0,Travel,20,False,True,False,iOS App,Singapore,SGD,False
TX_f8dd0848,197986.14,0,Education,12,False,False,False,Edge,Nigeria,NGN,False
TX_06370aaa,1093.49,1,Retail,2,False,False,False,Chrome,Germany,EUR,True
TX_80744ac9,64.69,1,Restaurant,3,False,False,False,iOS App,Mexico,MXN,True
TX_a3af5278,420.81,0,Grocery,18,False,False,False,Safari,USA,USD,False
TX_161f2b14,213.92,1,Gas,19,False,False,False,Chrome,Singapore,SGD,False
TX_583abe2f,829498.27,1,Healthcare,12,False,False,True,Magnetic Stripe,Nigeria,NGN,True
TX_91fbc00d,594489.06,1,Healthcare,2,True,False,False,Edge,Nigeria,NGN,True
TX_7f74a224,29883.82,0,Grocery,15,True,False,False,iOS App,Russia,RUB,False
TX_2a9090fc,33018.55,1,Education,18,True,False,False,Safari,Russia,RUB,False
TX_145cd3f7,319.66,0,Gas,6,True,False,False,Android App,UK,GBP,False
TX_ace08d03,483.78,0,Grocery,18,False,False,False,Safari,Canada,CAD,False
TX_6e6ad935,223.95,0,Entertainment,12,False,True,False,Safari,France,EUR,False
TX_c73cc04c,73595.95,0,Entertainment,2,True,True,False,Firefox,Nigeria,NGN,False
TX_66495c93,388.66,0,Entertainment,8,False,True,False,Firefox,France,EUR,False
TX_14d77b7d,14636.26,0,Gas,13,False,False,False,Safari,Japan,JPY,False
TX_67606f5e,409789.98,1,Gas,19,False,False,False,Firefox,Nigeria,NGN,True
TX_40052412,10303.45,0,Travel,15,True,True,False,iOS App,Brazil,BRL,False
TX_287c984f,379.79,1,Grocery,18,False,False,False,iOS App,Australia,AUD,False
TX_d8564b2f,241.65,1,Grocery,9,False,False,False,Android App,Russia,RUB,True
TX_9e6153f9,4592.6,1,Entertainment,12,True,True,False,Firefox,Mexico,MXN,False
TX_ceb2e6a8,350.44,0,Restaurant,17,True,False,False,Safari,UK,GBP,False
TX_49d86c4f,684.85,0,Retail,8,True,False,False,Chrome,UK,GBP,False
TX_ca2a3284,27035.83,1,Gas,17,False,False,False,Firefox,Russia,RUB,False
TX_cdd4fd5c,2577.03,0,Gas,0,False,False,False,Chrome,Singapore,SGD,True
TX_c368bc73,23725.7,0,Restaurant,8,True,False,False,Edge,Russia,RUB,False
TX_ff22d43c,351.07,0,Gas,6,False,False,False,Firefox,UK,GBP,False
TX_dabeccbc,676.14,1,Healthcare,15,False,False,False,Firefox,Germany,EUR,True
TX_27efddb7,368.08,1,Entertainment,20,False,True,False,Android App,USA,USD,False
TX_748960e8,5.41,1,Grocery,1,False,False,True,NFC Payment,Brazil,BRL,True
TX_abe06fda,1106.05,0,Travel,17,False,True,False,Firefox,USA,USD,False
TX_63482e08,7074.61,0,Entertainment,18,False,True,False,Edge,Mexico,MXN,False
TX_a41d0f1e,848252.7,1,Gas,11,False,False,True,Chip Reader,Nigeria,NGN,True
TX_a79f734e,255.57,1,Grocery,10,True,False,False,Android App,Russia,RUB,True
TX_5668b9f5,45186.0,1,Gas,7,False,False,True,Chip Reader,Russia,RUB,True
TX_bcaae3b8,5.08,1,Travel,6,False,True,True,Chip Reader,Canada,CAD,True
TX_d6191084,175.92,0,Travel,9,False,True,False,Safari,Germany,EUR,False
TX_3b23c4ca,2345.59,0,Grocery,19,False,False,False,Android App,Australia,AUD,False
TX_d2619023,172912.87,0,Healthcare,8,False,False,False,Android App,Nigeria,NGN,False
TX_87655e21,658.96,0,Retail,0,False,False,False,Chrome,Canada,CAD,False
TX_48531468,2191.36,0,Restaurant,7,False,False,False,Chrome,Singapore,SGD,False
TX_62db90a3,782823.93,1,Entertainment,19,False,True,True,Magnetic Stripe,Nigeria,NGN,True
TX_bfa70268,2022.33,1,Grocery,18,False,False,False,Firefox,Brazil,BRL,False
TX_d6d82e23,7698.48,0,Entertainment,6,False,True,False,Safari,Mexico,MXN,False
TX_f0a6b6a4,484.57,0,Retail,11,False,False,False,iOS App,USA,USD,False
TX_11b92bec,7674.81,0,Restaurant,3,True,False,False,Firefox,Mexico,MXN,False
TX_0717d39e,3410.72,0,Healthcare,20,False,False,False,Firefox,Brazil,BRL,False
TX_7fa698ec,1416.33,0,Travel,17,False,True,False,iOS App,Singapore,SGD,False
TX_da8d1b7e,2030.23,1,Grocery,2,True,False,True,NFC Payment,Brazil,BRL,True
TX_6da3a112,95368.19,1,Entertainment,7,False,True,False,Safari,Nigeria,NGN,False
TX_e73ad242,400.78,0,Restaurant,12,False,False,False,Safari,Canada,CAD,False
TX_799ee085,2650.75,0,Travel,11,False,True,False,Chrome,Australia,AUD,False
TX_f3b71f2b,46300.67,1,Entertainment,21,True,True,True,Magnetic Stripe,Russia,RUB,True
TX_77d63ad4,8485.9,1,Entertainment,4,False,True,False,Edge,Mexico,MXN,True
TX_9643f35c,32104.85,1,Grocery,1,False,False,True,NFC Payment,Mexico,MXN,True
TX_57da1c05,573.33,0,Healthcare,16,False,False,False,iOS App,Australia,AUD,False
TX_76aff757,6557.53,1,Healthcare,17,True,False,False,iOS App,Brazil,BRL,True
TX_bebd99a3,400.81,0,Healthcare,11,False,False,False,iOS App,Germany,EUR,False
TX_af1f9d07,308.59,0,Restaurant,14,False,False,False,Android App,Canada,CAD,False
TX_cd940225,1034.63,1,Travel,22,False,True,False,Safari,Canada,CAD,False
TX_bdd92bdd,1206.48,1,Healthcare,13,True,False,False,iOS App,USA,USD,False
TX_276ea189,1813.04,0,Travel,1,False,True,False,Edge,USA,USD,False
TX_1aeedbf6,1622.29,0,Grocery,23,True,False,False,iOS App,Germany,EUR,False
TX_36c4a13d,469.46,0,Education,15,False,False,False,Android App,Canada,CAD,False
TX_ea6f6dff,31393.81,1,Education,6,False,False,False,Chrome,Mexico,MXN,True
TX_dff0a603,40721.79,0,Travel,17,False,True,False,Chrome,Russia,RUB,False
TX_a587c557,35836.13,0,Retail,1,True,False,False,Edge,Russia,RUB,False
TX_cde621dd,507.3,0,Education,8,False,False,False,Safari,USA,USD,False
TX_8b951542,283.62,1,Grocery,22,False,False,False,Android App,France,EUR,False
TX_540afc02,271.19,1,Restaurant,18,False,False,False,iOS App,Australia,AUD,False
TX_2c04a9b2,113.37,0,Entertainment,13,False,True,False,Edge,Canada,CAD,False
TX_5c4218c6,102971.07,0,Grocery,18,False,False,False,Edge,Nigeria,NGN,False
TX_e7766088,1257.85,0,Gas,18,True,False,False,Android App,Mexico,MXN,False
TX_e9658110,181.62,0,Travel,19,True,True,False,Edge,UK,GBP,False
TX_34dcfb95,139865.88,0,Education,5,False,False,False,Firefox,Nigeria,NGN,False
TX_cd66d331,174243.34,1,Healthcare,11,True,False,True,Chip Reader,Russia,RUB,True
TX_6b2ddc2a,404.38,1,Education,17,False,False,False,Firefox,France,EUR,False
TX_99ef2250,9657.15,0,Healthcare,22,True,False,False,Edge,Mexico,MXN,False
TX_34831be5,33954.81,0,Healthcare,4,True,False,True,NFC Payment,Mexico,MXN,True
TX_4b72fe60,533.21,0,Travel,15,False,True,False,Chrome,Australia,AUD,False
TX_1ab9030f,79997.38,0,Restaurant,7,False,False,False,Chrome,Japan,JPY,False
TX_46bf2d71,5055.1,1,Education,13,True,False,False,Chrome,Brazil,BRL,True
TX_78a1ab85,13278.82,0,Healthcare,10,False,False,False,Firefox,Mexico,MXN,False
TX_5752d49e,1514199.23,1,Travel,7,False,True,True,Magnetic Stripe,Nigeria,NGN,True
