transaction_id,customer_id,amount,merchant_category,country,currency,card_present,device,distance_from_home,high_risk_merchant,transaction_hour,weekend_transaction,is_fraud,amount_risk_tier,is_high_amount,long_distance_flag,late_night_txn,business_hours_txn,high_risk_combo,cnp_high_risk,is_mobile
TX_8ab03451,CUST_45506,544.43,Restaurant,Brazil,BRL,False,Firefox,0,False,7,False,False,High,0,0,0,0,0,0,0
TX_9b278186,CUST_60434,1.46,Education,Canada,CAD,True,Magnetic Stripe,1,False,1,False,True,Very Low,0,0,1,0,0,0,0
TX_7f80b3c4,CUST_47739,158.73,Entertainment,Canada,CAD,True,Chip Reader,0,True,16,False,True,Low,0,0,0,1,0,0,0
TX_7202f8a2,CUST_77691,1074.57,Restaurant,Brazil,BRL,False,Firefox,0,False,15,False,False,Very High,0,0,0,1,0,0,0
TX_75f107d6,CUST_86097,1399.64,Entertainment,Mexico,MXN,False,Firefox,0,True,10,True,False,Very High,0,0,0,1,0,1,0
TX_2337e624,CUST_30880,191.76,Travel,Singapore,SGD,False,Edge,0,True,20,False,False,Low,0,0,0,0,0,1,0
TX_639f9bb6,CUST_34674,545.93,Education,France,EUR,False,Safari,0,False,21,False,False,High,0,0,0,0,0,0,0
TX_a6b24749,CUST_72925,238.99,Gas,France,EUR,False,iOS App,1,False,12,True,False,Medium,0,0,0,1,0,0,0
TX_d8e58d93,CUST_19349,144015.31,Entertainment,Russia,RUB,True,Chip Reader,1,True,13,False,True,Very High,1,0,0,1,0,0,0
TX_d808df32,CUST_59050,5569.86,Education,Brazil,BRL,True,NFC Payment,1,False,14,False,True,Very High,0,0,0,1,0,0,0
TX_ac6c746f,CUST_61807,15.94,Retail,Brazil,BRL,False,Safari,1,False,3,True,True,Very Low,0,0,1,0,0,0,0
TX_0c8c4a01,CUST_12473,54424.37,Entertainment,Japan,JPY,False,Android App,0,True,11,False,False,Very High,1,0,0,1,0,1,1
TX_03467e03,CUST_88146,2391.97,Travel,Brazil,BRL,False,Chrome,0,True,18,True,False,Very High,0,0,0,0,0,1,0
